SampleID,MachineID,BatchNumber,DateTime,Origin,RoastProfile,BatchesSinceMaint,MaintenanceCycle,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,TotalScore,Grade
ROASTER_01_B0001_S1,ROASTER_01,1,2024-01-05 10:00:00,Kenya,Espresso,1,0,8.08,7.53,8.72,7.0,8.07,7.22,46.62,Premium
ROASTER_01_B0001_S2,ROASTER_01,1,2024-01-05 10:00:00,Kenya,Espresso,1,0,8.25,7.73,7.88,7.77,8.13,6.98,46.74,Premium
ROASTER_01_B0001_S3,ROASTER_01,1,2024-01-05 10:00:00,Kenya,Espresso,1,0,8.79,7.4,7.53,7.78,7.99,6.5,45.99,Premium
ROASTER_01_B0001_S4,ROASTER_01,1,2024-01-05 10:00:00,Kenya,Espresso,1,0,8.31,7.29,8.15,7.88,9.09,7.48,48.2,Specialty
ROASTER_01_B0001_S5,ROASTER_01,1,2024-01-05 10:00:00,Kenya,Espresso,1,0,7.69,6.6,7.98,8.01,8.36,7.07,45.71,Premium
ROASTER_01_B0002_S1,ROASTER_01,2,2024-01-05 13:00:00,Kenya,Dark,2,0,7.78,7.51,8.16,7.1,7.83,7.38,45.76,Premium
ROASTER_01_B0002_S2,ROASTER_01,2,2024-01-05 13:00:00,Kenya,Dark,2,0,8.57,7.28,8.59,8.16,8.34,7.11,48.05,Specialty
ROASTER_01_B0002_S3,ROASTER_01,2,2024-01-05 13:00:00,Kenya,Dark,2,0,7.49,7.68,7.57,7.67,8.06,7.0,45.47,Premium
ROASTER_01_B0002_S4,ROASTER_01,2,2024-01-05 13:00:00,Kenya,Dark,2,0,8.18,7.29,7.57,7.3,7.84,6.94,45.12,Premium
ROASTER_01_B0002_S5,ROASTER_01,2,2024-01-05 13:00:00,Kenya,Dark,2,0,8.51,7.28,7.96,8.0,8.27,7.16,47.18,Premium
ROASTER_01_B0003_S1,ROASTER_01,3,2024-01-05 16:00:00,Ethiopia,Dark,3,0,8.16,7.79,7.88,8.17,8.18,7.45,47.63,Premium
ROASTER_01_B0003_S2,ROASTER_01,3,2024-01-05 16:00:00,Ethiopia,Dark,3,0,8.11,7.14,8.27,7.46,8.78,7.13,46.89,Premium
ROASTER_01_B0003_S3,ROASTER_01,3,2024-01-05 16:00:00,Ethiopia,Dark,3,0,8.13,7.62,7.93,7.65,8.19,7.66,47.18,Premium
ROASTER_01_B0003_S4,ROASTER_01,3,2024-01-05 16:00:00,Ethiopia,Dark,3,0,8.47,7.18,7.42,6.55,8.06,7.06,44.74,Premium
ROASTER_01_B0003_S5,ROASTER_01,3,2024-01-05 16:00:00,Ethiopia,Dark,3,0,8.51,7.25,8.65,7.44,8.22,7.56,47.63,Premium
ROASTER_01_B0004_S1,ROASTER_01,4,2024-01-05 17:00:00,Ethiopia,Espresso,4,0,8.24,8.32,8.07,7.78,8.03,7.53,47.97,Premium
ROASTER_01_B0004_S2,ROASTER_01,4,2024-01-05 17:00:00,Ethiopia,Espresso,4,0,8.09,7.15,7.28,7.93,8.21,6.88,45.54,Premium
ROASTER_01_B0004_S3,ROASTER_01,4,2024-01-05 17:00:00,Ethiopia,Espresso,4,0,7.7,7.99,7.49,7.58,7.98,7.23,45.97,Premium
ROASTER_01_B0004_S4,ROASTER_01,4,2024-01-05 17:00:00,Ethiopia,Espresso,4,0,8.19,7.93,7.67,7.66,7.72,7.41,46.58,Premium
ROASTER_01_B0004_S5,ROASTER_01,4,2024-01-05 17:00:00,Ethiopia,Espresso,4,0,8.34,7.47,8.38,7.54,8.62,7.09,47.44,Premium
ROASTER_01_B0005_S1,ROASTER_01,5,2024-01-05 21:00:00,Ethiopia,Espresso,5,0,8.08,7.26,8.57,8.11,8.2,6.94,47.16,Premium
ROASTER_01_B0005_S2,ROASTER_01,5,2024-01-05 21:00:00,Ethiopia,Espresso,5,0,8.55,7.3,7.62,6.81,8.96,7.29,46.53,Premium
ROASTER_01_B0005_S3,ROASTER_01,5,2024-01-05 21:00:00,Ethiopia,Espresso,5,0,8.73,7.8,7.98,7.88,7.91,7.65,47.95,Premium
ROASTER_01_B0005_S4,ROASTER_01,5,2024-01-05 21:00:00,Ethiopia,Espresso,5,0,8.46,7.6,7.92,7.84,7.97,7.99,47.78,Premium
ROASTER_01_B0005_S5,ROASTER_01,5,2024-01-05 21:00:00,Ethiopia,Espresso,5,0,8.47,7.48,8.05,6.88,8.26,7.79,46.93,Premium
ROASTER_01_B0006_S1,ROASTER_01,6,2024-01-05 23:00:00,Brazil,Light,6,0,8.59,6.56,7.82,8.31,6.97,7.01,45.26,Premium
ROASTER_01_B0006_S2,ROASTER_01,6,2024-01-05 23:00:00,Brazil,Light,6,0,7.66,7.81,7.77,8.12,6.8,6.65,44.81,Premium
ROASTER_01_B0006_S3,ROASTER_01,6,2024-01-05 23:00:00,Brazil,Light,6,0,8.41,7.18,7.95,8.17,6.45,6.97,45.13,Premium
ROASTER_01_B0006_S4,ROASTER_01,6,2024-01-05 23:00:00,Brazil,Light,6,0,7.45,6.72,8.3,8.26,7.7,6.67,45.1,Premium
ROASTER_01_B0006_S5,ROASTER_01,6,2024-01-05 23:00:00,Brazil,Light,6,0,7.78,6.65,7.28,7.97,7.13,6.86,43.67,Premium
ROASTER_01_B0007_S1,ROASTER_01,7,2024-01-06 04:00:00,Ethiopia,Light,7,0,8.62,7.32,7.78,8.19,7.0,6.9,45.81,Premium
ROASTER_01_B0007_S2,ROASTER_01,7,2024-01-06 04:00:00,Ethiopia,Light,7,0,7.91,7.7,7.74,8.41,7.77,7.08,46.61,Premium
ROASTER_01_B0007_S3,ROASTER_01,7,2024-01-06 04:00:00,Ethiopia,Light,7,0,8.61,7.58,8.34,8.22,8.06,7.62,48.43,Specialty
ROASTER_01_B0007_S4,ROASTER_01,7,2024-01-06 04:00:00,Ethiopia,Light,7,0,8.77,6.95,7.67,7.86,7.72,7.32,46.29,Premium
